hx = 0.15, hy = 0.325, a = 0.343, w = 0.65, freqs = [186.05840899 231.5841835 ], gamma = 0.09243
hx = 0.15, hy = 0.35, a = 0.343, w = 0.65, freqs = [186.61372001 234.72359774], gamma = 0.09314
hx = 0.15, hy = 0.325, a = 0.344, w = 0.65, freqs = [185.69930395 230.99349949], gamma = 0.09338
hx = 0.15, hy = 0.35, a = 0.344, w = 0.65, freqs = [186.25246628 234.11367909], gamma = 0.09424
hx = 0.15, hy = 0.325, a = 0.345, w = 0.65, freqs = [185.3361243  230.40094683], gamma = 0.09429
hx = 0.15, hy = 0.35, a = 0.345, w = 0.65, freqs = [185.88333407 233.45533813], gamma = 0.09526
hx = 0.15, hy = 0.375, a = 0.345, w = 0.65, freqs = [186.50959721 236.35965453], gamma = 0.09527
hx = 0.15, hy = 0.35, a = 0.346, w = 0.65, freqs = [185.50496542 232.75175655], gamma = 0.09622
hx = 0.15, hy = 0.375, a = 0.346, w = 0.65, freqs = [186.13819766 235.69021855], gamma = 0.09639
hx = 0.15, hy = 0.35, a = 0.347, w = 0.65, freqs = [185.14536295 232.16351279], gamma = 0.09717
hx = 0.15, hy = 0.375, a = 0.347, w = 0.65, freqs = [185.77753764 235.06275438], gamma = 0.09745
hx = 0.15, hy = 0.375, a = 0.348, w = 0.65, freqs = [185.66885676 234.69892877], gamma = 0.09757
hx = 0.15, hy = 0.35, a = 0.349, w = 0.65, freqs = [184.67096205 231.30234421], gamma = 0.09823
hx = 0.15, hy = 0.375, a = 0.349, w = 0.65, freqs = [185.30136595 234.12133455], gamma = 0.09864
hx = 0.175, hy = 0.325, a = 0.35, w = 0.65, freqs = [185.9361493  237.07574656], gamma = 0.09874
hx = 0.15, hy = 0.35, a = 0.35, w = 0.65, freqs = [184.31863383 230.69859951], gamma = 0.09901
hx = 0.175, hy = 0.35, a = 0.35, w = 0.65, freqs = [186.54919525 240.78540354], gamma = 0.0992
hx = 0.15, hy = 0.375, a = 0.35, w = 0.65, freqs = [184.94702673 233.47300129], gamma = 0.09952
hx = 0.175, hy = 0.325, a = 0.351, w = 0.65, freqs = [185.54820783 236.48722347], gamma = 0.09999
hx = 0.175, hy = 0.35, a = 0.351, w = 0.65, freqs = [186.15152917 240.0912407 ], gamma = 0.10058
hx = 0.175, hy = 0.325, a = 0.352, w = 0.65, freqs = [185.19470365 235.97520666], gamma = 0.10111
hx = 0.175, hy = 0.35, a = 0.352, w = 0.65, freqs = [185.79469838 239.54122635], gamma = 0.10182
hx = 0.175, hy = 0.325, a = 0.353, w = 0.65, freqs = [184.84849193 235.48272112], gamma = 0.10217
hx = 0.175, hy = 0.35, a = 0.353, w = 0.65, freqs = [185.45012915 239.03682026], gamma = 0.103
hx = 0.175, hy = 0.325, a = 0.354, w = 0.65, freqs = [184.49647729 234.95755918], gamma = 0.10318
hx = 0.175, hy = 0.35, a = 0.354, w = 0.65, freqs = [185.09377148 238.46986569], gamma = 0.10414
hx = 0.175, hy = 0.325, a = 0.355, w = 0.65, freqs = [184.1654794  234.62069327], gamma = 0.10427
hx = 0.175, hy = 0.35, a = 0.355, w = 0.65, freqs = [184.76388625 238.09504034], gamma = 0.1053
hx = 0.175, hy = 0.375, a = 0.355, w = 0.65, freqs = [185.45987538 241.56287721], gamma = 0.10536
hx = 0.175, hy = 0.35, a = 0.356, w = 0.65, freqs = [184.40608512 237.45348089], gamma = 0.10628
