hx = 0.15, hy = 0.275, a = 0.351, w = 0.65, freqs = [188.92525585 228.43357072], gamma = 0.07546
hx = 0.15, hy = 0.3, a = 0.351, w = 0.65, freqs = [189.3748497  231.40882004], gamma = 0.076
hx = 0.15, hy = 0.275, a = 0.352, w = 0.65, freqs = [188.60289233 227.97169425], gamma = 0.07658
hx = 0.15, hy = 0.3, a = 0.352, w = 0.65, freqs = [189.03590365 230.82708574], gamma = 0.07724
hx = 0.15, hy = 0.325, a = 0.352, w = 0.65, freqs = [189.51929414 233.79710835], gamma = 0.07734
hx = 0.15, hy = 0.275, a = 0.353, w = 0.65, freqs = [188.28527935 227.5152513 ], gamma = 0.07763
hx = 0.15, hy = 0.3, a = 0.353, w = 0.65, freqs = [188.71837067 230.35881332], gamma = 0.07842
hx = 0.15, hy = 0.325, a = 0.353, w = 0.65, freqs = [189.20296094 233.32506133], gamma = 0.07866
hx = 0.15, hy = 0.3, a = 0.354, w = 0.65, freqs = [188.40600726 229.86502905], gamma = 0.07949
hx = 0.15, hy = 0.325, a = 0.354, w = 0.65, freqs = [188.89464012 232.83624583], gamma = 0.07986
hx = 0.15, hy = 0.3, a = 0.355, w = 0.65, freqs = [188.11133147 229.53325887], gamma = 0.0806
hx = 0.15, hy = 0.325, a = 0.355, w = 0.65, freqs = [188.58738998 232.38886432], gamma = 0.08104
hx = 0.15, hy = 0.3, a = 0.356, w = 0.65, freqs = [187.79023475 229.02536831], gamma = 0.08161
hx = 0.15, hy = 0.325, a = 0.356, w = 0.65, freqs = [188.27162169 231.86858803], gamma = 0.08215
hx = 0.15, hy = 0.3, a = 0.358, w = 0.65, freqs = [187.47310937 228.34315408], gamma = 0.08235
hx = 0.15, hy = 0.325, a = 0.358, w = 0.65, freqs = [187.9451797 231.1105147], gamma = 0.08302
hx = 0.15, hy = 0.3, a = 0.359, w = 0.65, freqs = [187.14876034 227.84017308], gamma = 0.08328
hx = 0.15, hy = 0.325, a = 0.359, w = 0.65, freqs = [187.61874269 230.56407493], gamma = 0.08405
hx = 0.15, hy = 0.3, a = 0.36, w = 0.65, freqs = [186.81782551 227.29151678], gamma = 0.08413
hx = 0.15, hy = 0.325, a = 0.36, w = 0.65, freqs = [187.2910539  230.04299046], gamma = 0.08505
hx = 0.15, hy = 0.35, a = 0.36, w = 0.65, freqs = [187.85075419 232.70579979], gamma = 0.08508
hx = 0.175, hy = 0.3, a = 0.361, w = 0.65, freqs = [188.33794889 235.41589681], gamma = 0.08513
hx = 0.15, hy = 0.325, a = 0.361, w = 0.65, freqs = [186.96727679 229.53023161], gamma = 0.086
hx = 0.15, hy = 0.35, a = 0.361, w = 0.65, freqs = [187.52403771 232.14452841], gamma = 0.08613
hx = 0.175, hy = 0.3, a = 0.362, w = 0.65, freqs = [188.00285596 235.04589591], gamma = 0.08654
hx = 0.15, hy = 0.325, a = 0.362, w = 0.65, freqs = [186.65001329 229.08776709], gamma = 0.08695
hx = 0.15, hy = 0.35, a = 0.362, w = 0.65, freqs = [187.21059993 231.69205509], gamma = 0.08718
hx = 0.175, hy = 0.3, a = 0.363, w = 0.65, freqs = [187.65043218 234.48983369], gamma = 0.08781
hx = 0.175, hy = 0.325, a = 0.363, w = 0.65, freqs = [188.19063479 237.86815434], gamma = 0.08808
hx = 0.15, hy = 0.35, a = 0.363, w = 0.65, freqs = [186.88430485 231.12134472], gamma = 0.08812
hx = 0.175, hy = 0.3, a = 0.364, w = 0.65, freqs = [187.29998205 233.95874415], gamma = 0.08904
hx = 0.175, hy = 0.325, a = 0.364, w = 0.65, freqs = [187.834403   237.24649649], gamma = 0.08941
hx = 0.175, hy = 0.3, a = 0.365, w = 0.65, freqs = [186.95521143 233.43567543], gamma = 0.09019
hx = 0.175, hy = 0.325, a = 0.365, w = 0.65, freqs = [187.48628869 236.69880674], gamma = 0.09071
hx = 0.175, hy = 0.3, a = 0.366, w = 0.65, freqs = [186.5880394  232.86731527], gamma = 0.09136
hx = 0.175, hy = 0.325, a = 0.366, w = 0.65, freqs = [187.11232754 236.08702031], gamma = 0.09203
hx = 0.175, hy = 0.3, a = 0.367, w = 0.65, freqs = [186.24275945 232.32688019], gamma = 0.09239
hx = 0.175, hy = 0.325, a = 0.367, w = 0.65, freqs = [186.7631819  235.51516208], gamma = 0.0932
hx = 0.175, hy = 0.3, a = 0.368, w = 0.65, freqs = [185.90429613 231.94247762], gamma = 0.09352
hx = 0.175, hy = 0.325, a = 0.368, w = 0.65, freqs = [186.42387292 235.10899076], gamma = 0.09444
hx = 0.175, hy = 0.35, a = 0.368, w = 0.65, freqs = [187.03256235 238.24781735], gamma = 0.09445
hx = 0.175, hy = 0.325, a = 0.369, w = 0.65, freqs = [186.07237209 234.45077252], gamma = 0.09543
hx = 0.175, hy = 0.35, a = 0.369, w = 0.65, freqs = [186.69182294 237.68211808], gamma = 0.09564
hx = 0.175, hy = 0.325, a = 0.37, w = 0.65, freqs = [185.73249591 233.87918219], gamma = 0.09641
hx = 0.175, hy = 0.35, a = 0.37, w = 0.65, freqs = [186.34602134 237.08568464], gamma = 0.09677
hx = 0.175, hy = 0.325, a = 0.371, w = 0.65, freqs = [185.39018235 233.30871902], gamma = 0.09735
hx = 0.175, hy = 0.35, a = 0.371, w = 0.65, freqs = [186.00142509 236.47148325], gamma = 0.09783
hx = 0.175, hy = 0.325, a = 0.372, w = 0.65, freqs = [185.07281439 232.80529085], gamma = 0.09821
hx = 0.175, hy = 0.35, a = 0.372, w = 0.65, freqs = [185.67354264 235.90227614], gamma = 0.0988
hx = 0.175, hy = 0.325, a = 0.373, w = 0.65, freqs = [184.76840778 232.32793258], gamma = 0.09901
hx = 0.175, hy = 0.35, a = 0.373, w = 0.65, freqs = [185.36551307 235.39683119], gamma = 0.09971
hx = 0.175, hy = 0.325, a = 0.374, w = 0.65, freqs = [184.45345835 231.80972207], gamma = 0.09977
hx = 0.175, hy = 0.35, a = 0.374, w = 0.65, freqs = [185.05815902 234.90423387], gamma = 0.10059
hx = 0.175, hy = 0.35, a = 0.375, w = 0.65, freqs = [184.74312119 234.38669012], gamma = 0.10145
hx = 0.175, hy = 0.375, a = 0.375, w = 0.65, freqs = [185.40189918 237.29003333], gamma = 0.1015
hx = 0.175, hy = 0.35, a = 0.376, w = 0.65, freqs = [184.4584831  234.01930696], gamma = 0.1023
hx = 0.175, hy = 0.375, a = 0.376, w = 0.65, freqs = [185.11004316 236.8645559 ], gamma = 0.10243
hx = 0.175, hy = 0.35, a = 0.377, w = 0.65, freqs = [184.14416781 233.46569377], gamma = 0.10304
hx = 0.175, hy = 0.375, a = 0.377, w = 0.65, freqs = [184.80122404 236.30518237], gamma = 0.10326
hx = 0.175, hy = 0.35, a = 0.378, w = 0.65, freqs = [183.82946661 232.91415737], gamma = 0.10375
hx = 0.175, hy = 0.375, a = 0.378, w = 0.65, freqs = [184.48803091 235.72735124], gamma = 0.10406
hx = 0.175, hy = 0.35, a = 0.379, w = 0.65, freqs = [183.51751196 232.36265816], gamma = 0.1044
hx = 0.175, hy = 0.375, a = 0.379, w = 0.65, freqs = [184.17926734 235.17539412], gamma = 0.10483
hx = 0.175, hy = 0.35, a = 0.38, w = 0.65, freqs = [183.19720046 231.7941395 ], gamma = 0.10504
hx = 0.2, hy = 0.35, a = 0.38, w = 0.65, freqs = [185.45421966 241.2239042 ], gamma = 0.10507
hx = 0.175, hy = 0.375, a = 0.38, w = 0.65, freqs = [183.86871582 234.62498939], gamma = 0.10557
hx = 0.2, hy = 0.35, a = 0.382, w = 0.65, freqs = [185.15975544 240.51329199], gamma = 0.10583
hx = 0.175, hy = 0.375, a = 0.382, w = 0.65, freqs = [183.58243929 233.81395907], gamma = 0.10586
hx = 0.2, hy = 0.325, a = 0.383, w = 0.65, freqs = [184.17322362 236.4297463 ], gamma = 0.10623
hx = 0.2, hy = 0.35, a = 0.383, w = 0.65, freqs = [184.83737613 240.12759602], gamma = 0.10699
hx = 0.2, hy = 0.325, a = 0.384, w = 0.65, freqs = [183.82306519 235.85245655], gamma = 0.10715
hx = 0.2, hy = 0.35, a = 0.384, w = 0.65, freqs = [184.4834572  239.50579935], gamma = 0.10804
hx = 0.2, hy = 0.35, a = 0.385, w = 0.65, freqs = [184.14623647 238.92038645], gamma = 0.109
hx = 0.2, hy = 0.35, a = 0.386, w = 0.65, freqs = [183.80558242 238.32530318], gamma = 0.10992
hx = 0.2, hy = 0.375, a = 0.386, w = 0.65, freqs = [184.5277598  241.68853742], gamma = 0.10998
hx = 0.2, hy = 0.35, a = 0.387, w = 0.65, freqs = [183.46857261 237.75371406], gamma = 0.11081
hx = 0.2, hy = 0.375, a = 0.387, w = 0.65, freqs = [184.18583777 241.0433331 ], gamma = 0.11096
hx = 0.2, hy = 0.35, a = 0.388, w = 0.65, freqs = [183.1338177  237.18713856], gamma = 0.11166
hx = 0.2, hy = 0.375, a = 0.388, w = 0.65, freqs = [183.85004709 240.44604285], gamma = 0.11192
hx = 0.2, hy = 0.35, a = 0.389, w = 0.65, freqs = [182.79636594 236.59041841], gamma = 0.11245
hx = 0.2, hy = 0.375, a = 0.389, w = 0.65, freqs = [183.51128831 239.83360526], gamma = 0.11284
hx = 0.2, hy = 0.35, a = 0.39, w = 0.65, freqs = [182.45830651 236.11658947], gamma = 0.11334
hx = 0.2, hy = 0.375, a = 0.39, w = 0.65, freqs = [183.18064438 239.34826459], gamma = 0.11381
hx = 0.2, hy = 0.35, a = 0.391, w = 0.65, freqs = [182.13045115 235.58415602], gamma = 0.11409
hx = 0.2, hy = 0.375, a = 0.391, w = 0.65, freqs = [182.8479742  238.74794894], gamma = 0.11464
hx = 0.2, hy = 0.35, a = 0.392, w = 0.65, freqs = [181.80017704 234.98375364], gamma = 0.11473
hx = 0.2, hy = 0.375, a = 0.392, w = 0.65, freqs = [182.50924642 238.09692616], gamma = 0.11539
hx = 0.2, hy = 0.375, a = 0.393, w = 0.65, freqs = [182.17546612 237.47681788], gamma = 0.11612
hx = 0.2, hy = 0.375, a = 0.394, w = 0.65, freqs = [181.84951293 236.87816712], gamma = 0.1168
hx = 0.2, hy = 0.4, a = 0.394, w = 0.65, freqs = [182.66807147 240.06306985], gamma = 0.11685
hx = 0.2, hy = 0.375, a = 0.395, w = 0.65, freqs = [181.56317014 236.37159696], gamma = 0.1174
hx = 0.2, hy = 0.4, a = 0.395, w = 0.65, freqs = [182.37737545 239.49114795], gamma = 0.11751
hx = 0.2, hy = 0.375, a = 0.396, w = 0.65, freqs = [181.27378205 235.86141294], gamma = 0.11797
hx = 0.2, hy = 0.4, a = 0.396, w = 0.65, freqs = [182.08602942 238.93397387], gamma = 0.11816
hx = 0.2, hy = 0.375, a = 0.397, w = 0.65, freqs = [180.97902315 235.3349569 ], gamma = 0.11852
hx = 0.2, hy = 0.4, a = 0.397, w = 0.65, freqs = [181.78857774 238.36926268], gamma = 0.11879
hx = 0.225, hy = 0.35, a = 0.398, w = 0.65, freqs = [182.3982356  241.02309262], gamma = 0.11907
hx = 0.2, hy = 0.375, a = 0.398, w = 0.65, freqs = [180.70838407 234.97376316], gamma = 0.11915
hx = 0.225, hy = 0.375, a = 0.398, w = 0.65, freqs = [183.16250215 244.69728852], gamma = 0.11932
hx = 0.2, hy = 0.4, a = 0.398, w = 0.65, freqs = [181.52697322 237.996711  ], gamma = 0.11947
hx = 0.225, hy = 0.35, a = 0.399, w = 0.65, freqs = [182.07616664 240.48828058], gamma = 0.11991
hx = 0.225, hy = 0.375, a = 0.399, w = 0.65, freqs = [182.84094262 244.16335211], gamma = 0.12029
hx = 0.225, hy = 0.35, a = 0.4, w = 0.65, freqs = [181.76182211 239.98230499], gamma = 0.12072
hx = 0.225, hy = 0.375, a = 0.4, w = 0.65, freqs = [182.5199416  243.61394026], gamma = 0.12121
hx = 0.225, hy = 0.35, a = 0.401, w = 0.65, freqs = [181.4337752  239.43235483], gamma = 0.12151
hx = 0.225, hy = 0.375, a = 0.401, w = 0.65, freqs = [182.19645652 243.07580403], gamma = 0.12212
hx = 0.225, hy = 0.35, a = 0.402, w = 0.65, freqs = [181.10805707 238.87811768], gamma = 0.12225
hx = 0.225, hy = 0.375, a = 0.402, w = 0.65, freqs = [181.87323765 242.52961738], gamma = 0.12299
hx = 0.225, hy = 0.375, a = 0.403, w = 0.65, freqs = [181.5525516  241.98382997], gamma = 0.12382
hx = 0.225, hy = 0.375, a = 0.404, w = 0.65, freqs = [181.2418772  241.45646209], gamma = 0.12459
hx = 0.225, hy = 0.375, a = 0.405, w = 0.65, freqs = [180.91854345 240.89252013], gamma = 0.12535
hx = 0.225, hy = 0.4, a = 0.405, w = 0.65, freqs = [181.77404109 244.39636664], gamma = 0.12537
hx = 0.225, hy = 0.375, a = 0.406, w = 0.65, freqs = [180.59593709 240.33583512], gamma = 0.12608
hx = 0.225, hy = 0.4, a = 0.406, w = 0.65, freqs = [181.45141043 243.78993764], gamma = 0.12618
hx = 0.225, hy = 0.375, a = 0.407, w = 0.65, freqs = [180.29755308 239.97993441], gamma = 0.12692
hx = 0.225, hy = 0.4, a = 0.407, w = 0.65, freqs = [181.14696596 243.37004219], gamma = 0.12707
hx = 0.225, hy = 0.375, a = 0.409, w = 0.65, freqs = [179.98395078 239.09491096], gamma = 0.12717
hx = 0.225, hy = 0.4, a = 0.409, w = 0.65, freqs = [180.84733152 242.47568706], gamma = 0.12741
hx = 0.225, hy = 0.375, a = 0.41, w = 0.65, freqs = [179.66497233 238.49636716], gamma = 0.12774
